study,dataset,variable,concept,questionnaire,question,item
soep-is,bio,cid,,,,
soep-is,bio,hid,,,,
soep-is,bio,pid,,,,
soep-is,bio,syear,,,,
soep-is,bio,sample1,,,,
soep-is,bio,bintc01,,,,
soep-is,bio,bintc02,,,,
soep-is,bio,bisc188,,,,
soep-is,bio,bisco1,,,,
soep-is,bio,biscoh1,,,,
soep-is,bio,biscohv,,,,
soep-is,bio,biscou1,,,,
soep-is,bio,biscouv,,,,
soep-is,bio,biscov,,,,
soep-is,bio,biscv88,,,,
soep-is,bio,bise188,,,,
soep-is,bio,bisei1,,,,
soep-is,bio,biseiv,,,,
soep-is,bio,bisev88,,,,
soep-is,bio,btre188,,,,
soep-is,bio,btreim1,,,,
soep-is,bio,btreimv,,,,
soep-is,bio,btrev88,,,,
soep-is,bio,bwegen1,,,,
soep-is,bio,bwegenv,,,,
soep-is,bio,l0017,,,,
soep-is,bio,l0018,,,,
soep-is,bio,l0020,,,,
soep-is,bio,l0021,,,,
soep-is,bio,l0022,,,,
soep-is,bio,l0023,,,,
soep-is,bio,l0024,,,,
soep-is,bio,l0025,,,,
soep-is,bio,l0026,,,,
soep-is,bio,l0027,,,,
soep-is,bio,l0028,,,,
soep-is,bio,l0029,,,,
soep-is,bio,l0030,,,,
soep-is,bio,l0031,,,,
soep-is,bio,l0032,,,,
soep-is,bio,l0033,,,,
soep-is,bio,l0034,,,,
soep-is,bio,l0035,,,,
soep-is,bio,l0036,,,,
soep-is,bio,l0037,,,,
soep-is,bio,l0038,,,,
soep-is,bio,l0040,,,,
soep-is,bio,l0041,,,,
soep-is,bio,l0042,,,,
soep-is,bio,l0043,,,,
soep-is,bio,l0044,,,,
soep-is,bio,l0045,,,,
soep-is,bio,l0046,,,,
soep-is,bio,l0047,,,,
soep-is,bio,l0048,,,,
soep-is,bio,l0049,,,,
soep-is,bio,l0050,,,,
soep-is,bio,l0051,,,,
soep-is,bio,l0052,,,,
soep-is,bio,l0053,,,,
soep-is,bio,l0054,,,,
soep-is,bio,l0055,,,,
soep-is,bio,l0056,,,,
soep-is,bio,l0058,,,,
soep-is,bio,l0059,,,,
soep-is,bio,l0060,,,,
soep-is,bio,l0064,,,,
soep-is,bio,l0075,,,,
soep-is,bio,l0076,,,,
soep-is,bio,l0078,,,,
soep-is,bio,l0079,,,,
soep-is,bio,l0080,,,,
soep-is,bio,l0081,,,,
soep-is,bio,l0082,,,,
soep-is,bio,l0083,,,,
soep-is,bio,l0092,,,,
soep-is,bio,l0093,,,,
soep-is,bio,l0094,,,,
soep-is,bio,l0095,,,,
soep-is,bio,l0096,,,,
soep-is,bio,l0097,,,,
soep-is,bio,l0098,,,,
soep-is,bio,l0099,,,,
soep-is,bio,l0100,,,,
soep-is,bio,l0101,,,,
soep-is,bio,l0102,,,,
soep-is,bio,l0103,,,,
soep-is,bio,l0104,,,,
soep-is,bio,l0105,,,,
soep-is,bio,l0106,,,,
soep-is,bio,l0107,,,,
soep-is,bio,l0108,,,,
soep-is,bio,l0109,,,,
soep-is,bio,l0110,,,,
soep-is,bio,l0111,,,,
soep-is,bio,l0124,,,,
soep-is,bio,l0125,,,,
soep-is,bio,l0126,,,,
soep-is,bio,l0127,,,,
soep-is,bio,l0128,,,,
soep-is,bio,l0129,,,,
soep-is,bio,l0130,,,,
soep-is,bio,l0131,,,,
soep-is,bio,l0132,,,,
soep-is,bio,l0133,,,,
soep-is,bio,l0134,,,,
soep-is,bio,l0135,,,,
soep-is,bio,l0136,,,,
soep-is,bio,l0137,,,,
soep-is,bio,l0138,,,,
soep-is,bio,l0139,,,,
soep-is,bio,l0140,,,,
soep-is,bio,l0141,,,,
soep-is,bio,l0142,,,,
soep-is,bio,l0143,,,,
soep-is,bio,l0144,,,,
soep-is,bio,l0145,,,,
soep-is,bio,l0146,,,,
soep-is,bio,l0147,,,,
soep-is,bio,l0148,,,,
soep-is,bio,l0149,,,,
soep-is,bio,l0150,,,,
soep-is,bio,l0151,,,,
soep-is,bio,l0152,,,,
soep-is,bio,l0153,,,,
soep-is,bio,l0154,,,,
soep-is,bio,l0155,,,,
soep-is,bio,l0156,,,,
soep-is,bio,l0157,,,,
soep-is,bio,l0158,,,,
